date,dps,name
1400/04/31,100,وجامي
1392/09/30,650,وجامي
1393/09/30,100,وجامي
1393/09/30,100,وجامي
1394/09/30,80,وجامي
1395/04/31,20,وجامي
1396/04/31,50,وجامي
1396/04/31,50,وجامي
1397/04/31,150,وجامي
1397/04/31,150,وجامي
1398/04/31,60,وجامي
1399/04/31,120,وجامي
1399/04/31,120,وجامي
1400/04/31,100,وجامي
date,dps,name
1400/04/31,100,وجامي
1392/09/30,650,وجامي
1393/09/30,100,وجامي
1393/09/30,100,وجامي
1394/09/30,80,وجامي
1395/04/31,20,وجامي
1396/04/31,50,وجامي
1396/04/31,50,وجامي
1397/04/31,150,وجامي
1397/04/31,150,وجامي
1398/04/31,60,وجامي
1399/04/31,120,وجامي
1399/04/31,120,وجامي
1400/04/31,100,وجامي
date,dps,name
1400/04/31,100,وجامي
1392/09/30,650,وجامي
1393/09/30,100,وجامي
1393/09/30,100,وجامي
1394/09/30,80,وجامي
1395/04/31,20,وجامي
1396/04/31,50,وجامي
1396/04/31,50,وجامي
1397/04/31,150,وجامي
1397/04/31,150,وجامي
1398/04/31,60,وجامي
1399/04/31,120,وجامي
1399/04/31,120,وجامي
1400/04/31,100,وجامي
date,dps,name
1400/04/31,100,وجامي
1392/09/30,650,وجامي
1393/09/30,100,وجامي
1393/09/30,100,وجامي
1394/09/30,80,وجامي
1395/04/31,20,وجامي
1396/04/31,50,وجامي
1396/04/31,50,وجامي
1397/04/31,150,وجامي
1397/04/31,150,وجامي
1398/04/31,60,وجامي
1399/04/31,120,وجامي
1399/04/31,120,وجامي
1400/04/31,100,وجامي
date,dps,name
1400/04/31,100,وجامي
1392/09/30,650,وجامي
1393/09/30,100,وجامي
1393/09/30,100,وجامي
1394/09/30,80,وجامي
1395/04/31,20,وجامي
1396/04/31,50,وجامي
1396/04/31,50,وجامي
1397/04/31,150,وجامي
1397/04/31,150,وجامي
1398/04/31,60,وجامي
1399/04/31,120,وجامي
1399/04/31,120,وجامي
1400/04/31,100,وجامي
